ModelID,BRCA1 (672),NOTCH3 (4854),CTCF (10664),CDK6 (1021),MET (4233),ARID1A (8289),PIK3CA (5290),KRAS (3845),NOTCH2 (4853),APC (324),CDK4 (1019),MYC (4609),IDH1 (3417),BRCA2 (675),RB1 (5925),TP53 (7157),SMAD4 (4089),ERBB2 (2064),EGFR (1956),CDKN2A (1029),NOTCH1 (4851),BRAF (673),CTNNB1 (1499),ALK (238),PTEN (5728),IDH2 (3418),NF2 (4771),NF1 (4763),NOTCH4 (4855)
ACH-000610,5.444932048942182,1.1763227726404628,5.560409266362118,2.4802651220544627,3.171527106038814,6.5790896147242846,4.537917249034083,4.1945598860226125,1.8237493603082728,4.418189947945766,7.750941415587819,0.7907720378619999,7.512147858547522,3.606442228131608,2.350497247084133,6.546740152700914,6.268658955027672,4.274261661257048,0.1634987322828795,6.979682413715221,2.3673710656485296,4.07638806851284,7.622125050848534,0.5945485495503542,4.154615611326894,7.092440030238086,2.875780063068488,4.31397137105902,4.259272487037594
ACH-000081,5.2712762591759255,0.2750070474998697,5.123086750981061,5.45022149589718,0.3334237337251918,5.771093251699539,3.679198570566922,4.181897643108388,4.927896453728821,3.5447326559326235,7.149950301681046,6.7775512222878,5.207502459258789,4.234961094839504,5.252476214135217,5.818390444469626,5.382321407114501,3.00539998774259,0.2141248053528473,1.7484612330040354,5.38543103719352,3.8135246892978105,6.878357510336936,0.0426443374084937,5.189824558880018,7.120911755353298,3.319039815562536,4.19377174339668,0.5753123306874368
ACH-003161,5.391973883060293,2.780310099043376,5.3125199674749455,4.652486494918165,5.485426827170242,5.013015535839256,4.048759311919856,4.773468927905194,6.508111681193465,4.130930869826448,7.46180683028884,5.648177795724818,6.668317719915721,3.532316959332765,6.065873846768905,5.366322214245816,5.605257262939004,4.898692072560488,5.831370587967541,5.376776571882982,1.6780719051126378,3.10936055940423,7.587590019409252,0.0976107966264223,5.619119511453218,5.007195501404204,4.980939266085512,4.789729251375769,0.6229303509201767
ACH-000255,4.763411574470007,0.0285691521967709,5.357200084860054,4.682011390800694,5.681730355435845,5.481234349528531,3.365972427593384,2.769771739249448,6.211790976252541,3.257010618206024,8.586952347553126,6.836050355058069,5.5456595400254685,3.140778655782796,4.489286022625876,6.417683768755419,5.362119166725657,4.118525848935668,4.261530815243406,1.3448284969974411,2.1984941536390834,2.948600847493356,6.9902741833186015,0.1110313123887439,5.321928094887363,5.356143810225276,4.520422248526446,3.969933274697856,0.3448284969974411
ACH-001038,4.633431210355632,3.23112515787905,5.196134880765161,0.4222330006830478,0.2387868595871165,4.658211482751795,3.752748591407134,3.768713657030485,3.778208576398088,3.095924419998536,8.030115330908071,6.468583317006828,7.590287626878441,3.37851162325373,5.451540833017832,6.188638294561388,5.024585638278273,4.284662185483165,0.2387868595871165,0.070389327891398,1.819668183496456,3.488000770834068,6.352617298958503,0.9560566524124028,4.476381687567235,7.38361790096285,2.941106310946432,2.851998837112446,0.2387868595871165
ACH-000352,4.69655030107857,3.2203299548795554,5.690975738343275,0.5459683691052926,3.715893370547605,5.8011586560936985,3.513490745588118,3.71918344048179,5.428611418467134,3.388189537156084,7.44782711779381,5.894817763307944,6.139346700289664,2.211012193485512,3.5909612413426,6.402074073516853,4.172327491657617,5.385085853547684,2.6915341649192004,5.166313747889934,2.657640005207824,2.8875252707415875,6.347488497211796,0.0840642647884745,5.706806798597532,6.272209861124567,3.553360503335328,3.876762490781555,0.0840642647884745
ACH-002016,4.268284666520996,2.111031312388744,4.339850002884624,2.786596361890807,6.161686174583998,3.7441610955704094,2.713695814843359,3.8904466926799057,6.0925457415435655,2.992768430768924,8.129179963618668,6.474436043252266,6.061128135118254,1.9818526532897407,4.666188489872781,5.709014864903272,4.896756218474805,5.0895828931247085,4.800641097329084,3.727920454563199,2.007195501404204,2.666756591884804,6.875411480130765,0.2016338611696504,4.410748128185948,6.881909289047191,5.806581842620928,3.9467308601403097,0.4750848829487829
ACH-000416,4.354028938054387,3.607626220845488,4.768713657030485,3.040892430646901,3.785550551739256,4.234961094839504,4.016139702655253,5.836176624809224,4.448900951145128,2.2720231890610485,7.543031820255238,3.2249663650002742,6.302501844112321,3.37851162325373,4.4269356196483365,3.326249700837456,4.403267722339301,4.655351828612554,2.356143810225275,0.1763227726404628,1.2868811477881614,2.6959938131099,7.277891787150186,0.0565835283663675,4.971773447193373,6.034743949324734,3.4208865749755315,4.23035674505615,0.9927684307689242
ACH-000752,4.9354597478052895,7.273422641145649,5.435295215647167,3.815575428862573,5.642412772905056,5.132988042627442,4.569855608330948,4.009884588931844,6.493935485580522,2.9981955031532523,7.743016713843462,3.879705766282288,6.4929747563280005,3.400537929583729,2.922197848396367,6.016362598760893,5.496014873437763,5.903038270112912,5.104336659814735,7.650979913520719,5.2731428593080825,4.173926931999809,7.019479533703628,0.1505596765753814,5.380937194927824,7.769573407934086,4.602884408718419,5.113533819591914,1.2387868595871168
ACH-000862,4.7489978500981485,6.581953750848818,6.299940629824065,2.1243281350022016,6.052459369118096,5.543495883425772,3.4276061727818994,4.217230716220669,5.032541697270039,3.523561956057013,7.705286790272472,5.590362488463746,9.084117429162696,3.158660175346498,3.1009776477248208,5.03121873061072,5.591260524621525,6.660922913964558,5.848247352704505,7.609769734121728,5.7527485914071335,4.408032466130653,6.331812683819207,0.0285691521967709,4.765004246250036,6.231701199029002,3.171527106038814,4.936402377725063,0.8399595874895318
