ModelID,ALK (238),APC (324),ARID1A (8289),BRAF (673),BRCA1 (672),BRCA2 (675),CDK4 (1019),CDK6 (1021),CDKN2A (1029),CTCF (10664),CTNNB1 (1499),EGFR (1956),ERBB2 (2064),IDH1 (3417),IDH2 (3418),KRAS (3845),MET (4233),MYC (4609),NF1 (4763),NF2 (4771),NOTCH1 (4851),NOTCH2 (4853),NOTCH3 (4854),NOTCH4 (4855),PIK3CA (5290),PTEN (5728),RB1 (5925),SMAD4 (4089),TP53 (7157)
ACH-000023,0.0929183898125105,0.3805747001546686,0.1162283836761898,0.1093833966574174,0.5029990945523841,0.2482622275871688,0.6696130297253842,0.8240877062928351,0.0295326041616387,0.9996301461771602,0.1687306731639663,0.33628759405007,0.063607128498624,0.1138450835397249,0.0316128115898703,0.9979931371753648,0.0323611319993158,0.9999226798860836,0.0184882191330917,0.0140745665264916,0.057162165413369,0.0461540559422772,0.0397502168724052,0.134018872089727,0.0942743477936239,0.0014928353152927,0.0036965105671459,0.0038180576357112,0.0050650591020012
ACH-000024,0.0330364807879701,0.6370628724606109,7.721762830347454e-05,0.0178214358818471,0.5605474269782273,0.7052472457730669,0.7607356147208062,0.999996491706956,0.0256997234471852,0.993556787704356,0.0792231345386474,0.0238158020330139,0.4781604310599175,0.0384068336844021,0.1218876150012247,0.9591846812393366,0.1429476676343395,1.0,0.0289527306252947,0.005013863187159,0.02293783279943,0.0718123661990024,0.0369435330008039,0.1232324732246653,0.7070782730075288,0.0008318419204424,0.0063767476541838,0.0037911549238317,0.0062726095227454
ACH-000025,0.0051909725110242,0.2581575008154538,0.7454552596709957,0.1064953799399258,0.758158971658614,0.437686850883533,0.5361894979946776,0.9898191305007712,0.0014861990047829,0.9998571322644648,0.0073173616914327,0.0107663326151425,0.2532574943276677,0.0122789265722107,0.0512663300598001,0.4642308280644354,0.0139334041864178,1.0,0.0274992114199516,0.0005494421390625,0.0567129292482148,0.0155617543232957,0.0170729066651638,0.0162082613527064,0.3214059212580933,0.0063118444412614,0.0012422516231614,0.1742356262320446,0.0069642624381988
ACH-000026,0.0982083219798569,0.0330934428891069,0.2343396142864532,0.0128563831137506,0.382945229296988,0.8490279132478492,0.4610652968571361,0.8427067885105263,0.0014332257663497,1.0,0.2429488893262284,0.0928599543480172,0.6921360632439375,0.0046995409889784,0.0247539456900373,0.4525804103321972,0.0773504464934884,1.0,0.0122331806985943,0.0019267809223232,0.0159199137966388,0.0609297123837376,0.0355803950638323,0.0175920480492329,0.8188511836987973,0.0002233778496841,0.0004523729550198,0.0321860438036107,0.0
ACH-000028,0.0195290839092968,0.2597404960220048,0.0351159532597793,0.0033377936856201,0.8297980366808897,0.8957518361836674,0.9957659541596484,0.1213434087293751,0.0026879911921432,0.9947271866113888,0.0168781068627251,0.0130488849297,0.0623347048622317,0.0472251040366144,0.054985859179012,0.1309808977556116,0.0284320579714256,0.9999571563022716,0.1587434650114854,0.0134554980050208,0.0135935257336304,0.0413992771414799,0.0557654115264815,0.1909688936439153,0.6993090469760802,0.0741685112884159,0.0005422100248861,0.0047385285376452,8.722723099872227e-07
ACH-000029,0.0396204469233662,0.5432744093617989,0.8550608108640341,0.0140020328763293,0.8560860190339876,0.4611078155887471,0.9924478049821176,0.0361682570965213,0.0047899414752816,1.0,0.0629488915991052,0.1722825098463505,0.1550302152233533,0.5002545463162281,0.0098178110081293,0.1145821280532299,0.7631619359982418,1.0,0.0155191463420703,0.4091988165725402,0.0206891474361573,0.0368287869077371,0.0197978051485371,0.0581792271619836,0.4906544704246638,0.0,0.0010440216163986,0.0748247146500069,0.0015906112132611
ACH-000030,0.0820216132173235,0.3344172794492415,0.2213109969978042,0.0051225423929719,0.3762906582963365,0.7166831985736745,0.9746212928182294,0.1530134799590347,0.0062493728426598,1.0,0.0163416227619386,0.997005304725611,0.3019992103403052,0.0317441784190823,0.0098659816321737,0.0547974576726763,0.0686133193398273,1.0,0.1513500544354216,1.9332186446733948e-05,0.0266188289209743,0.1447363150371912,0.0269078445362328,0.0320937072342813,0.8218290971715859,0.0,0.0028577048248104,0.0428317937346307,0.3214279732750114
ACH-000035,0.023356391049943,0.1827693601181019,0.2008804876922763,0.0121971275903272,0.6920225327566742,0.9694516351289538,0.782692623299808,0.772561794716826,0.0002689723217674,0.9906776157405356,0.0195780524161842,0.1208274308886686,0.5184641850204011,0.0098692248979906,0.0150215447491526,0.4388165762951137,0.0433012065950953,0.9929596657020572,0.0025553655202408,2.851104148063365e-06,0.005832430767492,0.0432536216689041,0.1469228817713377,0.0523585680460848,0.0739944060016819,0.0203524275574782,0.0023025660041141,0.07554091577912,0.0093393360913161
ACH-000036,0.0833496092069631,0.3862029213844801,0.1150685793389242,0.0507514008478495,0.353863557698063,0.3763473283938127,0.4852819319685009,0.9869257438306928,0.0055130478476799,0.9998967495873776,0.0075075573829219,0.1909113550936581,0.0720346673556447,0.1858266218337984,0.1137844758706152,0.3518237194789151,0.914139173018449,1.0,0.0,0.0,0.0202022366866095,8.784024248846567e-05,0.051452170032452,0.0124195711824862,0.4715739326815553,0.0102480240869357,0.0002108338858707,0.0058123178227883,1.9870745816612032e-06
ACH-000037,0.0776829037809924,0.2833065556027219,0.0348824167366325,0.0660492692389777,0.4472148808745352,0.0660721468837915,0.8053654673787726,0.949016815043748,0.0172608555654546,0.9995106671160336,0.0797324900633485,0.0584551434062084,0.2212201566413108,0.4206240563870983,0.0763484117819983,0.2448172872648481,0.1050555973576723,0.9377151328142675,0.0122825501196785,0.0141138879708381,0.0340022614441566,0.0459456622631284,0.0103573377422949,0.092914412379828,0.3193260428729561,0.0094138153592169,0.0153198164510209,0.0125310067437869,0.0057514862799089
ACH-000039,0.039845379536421,0.5376276005227573,0.1020277136573832,0.004454999476645,0.0927484298877401,0.4174012258837877,0.070828344104874,0.0403125276179401,0.0446357282116768,0.9997772162286452,0.0292217202549795,0.1618507016263771,0.075171447893414,0.1303657364327986,0.0072268064947445,0.7921704370081114,0.131834691249164,1.0,0.0112266279664618,0.0097984516120455,0.0164151322644802,0.0434299351561832,0.0502115295056874,0.0147191585579365,0.9794945608911798,1.3964276184619543e-06,0.0123430478030663,0.0183123722178223,0.0126102696767781
ACH-000040,0.0233744906783292,0.3968563839144117,0.2356567500237411,0.0558349455979971,0.6939357986048509,0.3276998265870751,0.9999627233685842,0.9291917879276352,0.0693213121071223,1.0,0.0065381386870173,0.0429207703082954,0.1432174834911549,0.0889440276961412,0.0472111791454658,0.2358719633841247,0.3767866963967076,0.9995192969879776,0.0148194217661975,0.0,0.0452619152238704,0.0651604456576553,0.092897599187044,0.1060304921049821,0.4706950356233083,0.0081432437882098,0.0015957419072122,0.0493877401816445,3.9834967692615206e-05
ACH-000041,0.0554766029385263,0.102771169861427,0.0011706849205601,0.018173632844138,0.3749669789634844,0.1658882866619239,1.0,0.0558835546527014,0.0057123351360081,1.0,0.0256649860484454,0.016563020257027,0.1333539873333412,0.1508460580615604,0.0336688230359941,0.5348061693841631,0.0342349065369374,1.0,0.0006631343934797,0.0014406929812468,0.0152047025204054,0.0268298020075503,0.0153152314422352,0.0447912203649576,0.7137936102492161,0.0,6.488463059105886e-05,0.0662690703129989,0.0063472438653359
ACH-000042,0.0574981053198539,0.0068998669890778,0.0277119884989216,0.360800886696626,0.0299020978823779,0.3752047808499298,0.9146933315009336,0.7516193920531209,0.0149115854305869,0.9985550013639232,0.0928061625169137,0.6370220161142486,0.260293483641285,0.1833212016488745,0.0301497258806012,1.0,0.0394053869761108,1.0,0.0010704263359715,0.0,0.018546524145128,0.298909922298101,0.0662499796758601,0.0598836575839445,0.5541669623500888,0.0,0.0042020327824019,0.0424073660139932,0.0835792187617888
ACH-000045,0.007346541980692,0.0209880820155665,0.8170026055192974,0.0050011554736625,0.0729850960668296,0.5290904176345642,0.7889281082316904,0.9852357880822242,9.338902138555936e-05,1.0,0.0124134651233774,0.0115372501586293,0.0991895965225787,0.0208665025725455,0.0032873527070699,0.3536608319044579,0.0461110173552126,1.0,0.0656618003996842,0.0014484826499253,0.0053379559457951,0.0225754291313869,0.0097783001866743,0.0132494879463009,0.1098914486640621,0.0034181585844462,0.0017966863970779,0.0399634533749281,2.8926028129286217e-07
ACH-000047,0.0162302140397994,0.4424276907273322,4.49180884262792e-06,0.0023854755393594,0.9611148116191384,0.691615124038489,0.416999350642634,0.0439226688732556,0.001333983104788,0.9998380147232512,0.0400113219714362,0.7305893613762374,0.2497505632025545,0.2738218339789845,0.0766109725248365,0.0639001515380968,0.0862114613079085,1.0,0.0101510815530132,0.172670342812673,0.0042047529927953,0.0851544217353471,0.013291303159064,0.0130676996679797,0.5354226642552341,7.302851348547843e-06,8.211814520018482e-09,0.0328039429794499,0.0030838415789801
ACH-000048,0.0825322906137679,0.0506231124039388,0.0223233630372995,0.004883077062935,0.1695084849780221,0.7386797554714615,0.3160815510824596,0.6114583549467046,0.0029683230723359,0.99966135108221,0.9714887283216648,0.0345827283919973,0.6806923074324736,0.0499165106213088,0.0164368643724944,0.1957188766221519,0.0126252400397522,1.0,0.000320369897484,0.0073193006031475,0.0110438436539603,0.0181004387832155,0.0232067423327664,0.4874769542830261,0.0859213357261271,1.2818498951975018e-07,0.0004856568061542,0.0750462940188423,0.0008755115048754
